Episode #,Training Iter,Epoch,In Heatup,ER #Transitions,ER #Episodes,Episode Length,Total steps,Epsilon,Shaped Training Reward,Training Reward,Update Target Network,Wall-Clock Time,Evaluation Reward,Shaped Evaluation Reward,Success Rate,Inverse Propensity Score,Direct Method Reward,Doubly Robust,Weighted Importance Sampling,Sequential Doubly Robust,Loss/Mean,Loss/Stdev,Loss/Max,Loss/Min,Learning Rate/Mean,Learning Rate/Stdev,Learning Rate/Max,Learning Rate/Min,Grads (unclipped)/Mean,Grads (unclipped)/Stdev,Grads (unclipped)/Max,Grads (unclipped)/Min,Discounted Return/Mean,Discounted Return/Stdev,Discounted Return/Max,Discounted Return/Min,Entropy/Mean,Entropy/Stdev,Entropy/Max,Entropy/Min,Advantages/Mean,Advantages/Stdev,Advantages/Max,Advantages/Min,Values/Mean,Values/Stdev,Values/Max,Values/Min,Value Loss/Mean,Value Loss/Stdev,Value Loss/Max,Value Loss/Min,Policy Loss/Mean,Policy Loss/Stdev,Policy Loss/Max,Policy Loss/Min,Value Targets/Mean,Value Targets/Stdev,Value Targets/Max,Value Targets/Min,KL Divergence/Mean,KL Divergence/Stdev,KL Divergence/Max,KL Divergence/Min,Likelihood Ratio/Mean,Likelihood Ratio/Stdev,Likelihood Ratio/Max,Likelihood Ratio/Min,Clipped Likelihood Ratio/Mean,Clipped Likelihood Ratio/Stdev,Clipped Likelihood Ratio/Max,Clipped Likelihood Ratio/Min
1,0.0,0.0,0.0,133.0,1.0,133.0,133.0,0.1,61.00800000000005,0.0,0.0,0.004739522933959961,,,,,,,,,,,,,,,,,,,,,21.592035767728397,15.479890564193866,58.25270640299172,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,0.0,0.0,0.0,184.0,2.0,51.0,184.0,0.1,33.406,0.0,0.0,5.096437215805054,,,,,,,,,,,,,,,,,,,,,11.963499862923344,11.255088200291988,32.86155174893703,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,0.0,0.0,0.0,216.0,3.0,32.0,216.0,0.1,14.705999999999994,0.0,0.0,8.289621591567993,,,,,,,,,,,,,,,,,,,,,4.45062244028279,4.903521069475177,14.592750991142244,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,0.0,0.0,0.0,248.0,4.0,32.0,248.0,0.1,17.106000000000016,0.0,0.0,11.509257316589355,,,,,,,,,,,,,,,,,,,,,5.5367197772741275,5.89006317698314,16.96273347133643,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,0.0,0.0,0.0,284.0,5.0,36.0,284.0,0.1,15.907999999999992,0.0,0.0,15.06816840171814,,,,,,,,,,,,,,,,,,,,,4.454370015692174,5.289660956057624,15.779185270791395,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,0.0,0.0,0.0,331.0,6.0,47.0,331.0,0.1,24.408000000000023,0.0,0.0,19.570484161376953,,,,,,,,,,,,,,,,,,,,,7.553376443014231,8.030972528394086,24.101169545098983,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,0.0,0.0,0.0,462.0,7.0,131.0,462.0,0.1,37.8240000000001,0.0,0.0,31.563210010528564,,,,,,,,,,,,,,,,,,,,,15.295441058745316,8.087260548745784,35.89204542009916,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,0.0,0.0,0.0,540.0,8.0,78.0,540.0,0.1,49.706999999999994,0.0,0.0,38.78538370132446,,,,,,,,,,,,,,,,,,,,,18.990652836245893,15.103134948568096,48.32232540726194,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,0.0,0.0,0.0,630.0,9.0,90.0,630.0,0.1,26.326000000000043,0.0,0.0,47.0423002243042,,,,,,,,,,,,,,,,,,,,,9.945306597032136,5.978340384908796,25.481860645697864,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,0.0,0.0,0.0,672.0,10.0,42.0,672.0,0.1,27.506000000000014,0.0,0.0,51.16907238960266,,,,,,,,,,,,,,,,,,,,,10.378712840442976,9.23172560790232,27.12431556752088,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
